option_slug,variant_type_slug,option_name,description,additional_price,image_url,display_order
ultra-grueso,material,Ultra Grueso,Material extra grueso premium,2.00,/images/materiales/ultra-grueso.jpg,9
sin-recubrimiento,material,Sin Recubrimiento,Material sin capa protectora,0.00,,10
grano-fino,material,Grano Fino,Textura con grano fino,1.20,/images/materiales/grano-fino.jpg,11
algodon-100,material,100% Algodón,Algodón puro natural,0.00,/images/materiales/algodon.jpg,12
poliester-100,material,100% Poliéster,Poliéster sintético,1.00,/images/materiales/poliester.jpg,13
nylon-100,material,100% Nylon,Nylon resistente,1.50,/images/materiales/nylon.jpg,14
acrilico-100,material,100% Acrílico,Acrílico suave,0.80,/images/materiales/acrilico.jpg,15
mezcla-algodon,material,Mezcla de Algodón,Blend con algodón,0.50,/images/materiales/mezcla-algodon.jpg,16
mezcla-poliester,material,Mezcla de Poliéster,Blend con poliéster,0.70,/images/materiales/mezcla-poliester.jpg,17
poliester-algodon,material,Poliéster-Algodón,Blend 50/50,0.60,,18
poliester-spandex,material,Poliéster-Spandex,Blend elástico,1.20,,19
lona-algodon,material,Lona de Algodón,Lona resistente,1.50,/images/materiales/lona.jpg,20
canvas,material,Canvas,Material canvas grueso,1.40,/images/materiales/canvas.jpg,21
plastico-pvc,material,PVC,Plástico PVC rígido,1.00,,22
plastico-frosted,material,Plástico Frosted,Plástico transparente esmerilado,2.50,/images/materiales/frosted.jpg,23
metal,material,Metal,Material metálico,5.00,/images/materiales/metal.jpg,24
acrilico,material,Acrílico,Material acrílico transparente,2.00,,25
forex,material,Forex,PVC espumado rígido,1.50,,26
aluminio,material,Aluminio,Metal aluminio para exteriores,3.00,,27
carton-piedra,material,Cartón Piedra,Cartón grueso y resistente,0.50,,28
couche-mate,material,Couché Mate,Papel couché acabado mate,0.00,,29
couche-brillante,material,Couché Brillante,Papel couché acabado brillante,0.00,,30
opalina,material,Opalina,Papel opalina premium,0.80,,31
cartulina,material,Cartulina,Cartulina estándar,0.00,,32
papel-semilla,material,Papel Semilla,Papel plantable con semillas,3.00,/images/materiales/papel-semilla.jpg,33
ceramica,material,Cerámica,Material cerámico,0.00,,34
vidrio,material,Vidrio,Material de vidrio,2.00,,35
acero-inoxidable,material,Acero Inoxidable,Metal acero inoxidable,3.00,,36
3x3,tamano,3cm x 3cm,Tamaño 3x3 centímetros,0.00,,1
5x5,tamano,5cm x 5cm,Tamaño 5x5 centímetros,1.00,,2
7x7,tamano,7cm x 7cm,Tamaño 7x7 centímetros,2.00,,3
10x10,tamano,10cm x 10cm,Tamaño 10x10 centímetros,3.50,,4
8.5x5.5,tamano,8.5cm x 5.5cm,Tamaño tarjeta estándar,0.00,,5
9x5,tamano,9cm x 5cm,Tamaño tarjeta europea,0.20,,6
10x6,tamano,10cm x 6cm (4x6"),Postal estándar 4x6 pulgadas,0.00,,7
13x18,tamano,13cm x 18cm (5x7"),Postal 5x7 pulgadas,1.00,,8
a6,tamano,A6 (10.5x14.8cm),Tamaño A6,0.50,,9
a5,tamano,A5 (14.8x21cm),Tamaño A5,1.00,,10
a4,tamano,A4 (21x29.7cm),Tamaño A4,1.50,,11
a3,tamano,A3 (29.7x42cm),Tamaño A3,3.00,,12
a2,tamano,A2 (42x59.4cm),Tamaño A2,6.00,,13
a1,tamano,A1 (59.4x84.1cm),Tamaño A1,12.00,,14
a0,tamano,A0 (84.1x118.9cm),Tamaño A0,24.00,,15
carta,tamano,Carta (21.6x27.9cm),Tamaño carta US,1.50,,16
media-carta,tamano,Media Carta (13.97x21.6cm),Mitad de carta,0.80,,17
tabloide,tamano,Tabloide (27.9x43.2cm),Tamaño tabloide,3.50,,18
1x2m,tamano,1x2 metros,Banner 1 metro x 2 metros,0.00,,19
2x3m,tamano,2x3 metros,Banner 2 metros x 3 metros,15.00,,20
80cm-ancho,tamano,80cm ancho,Display retráctil 80cm,0.00,,21
100cm-ancho,tamano,100cm ancho,Display retráctil 100cm,5.00,,22
personalizado-tam,tamano,Tamaño Personalizado,Dimensiones a medida,5.00,,23
bordes-cuadrados,borde,Bordes Cuadrados,Esquinas en ángulo recto,0.00,,1
bordes-redondeados,borde,Bordes Redondeados,Esquinas suavizadas,0.50,,2
baseball,tipo-gorra,Gorra Baseball,Estilo béisbol clásico,0.00,/images/gorras/baseball.jpg,1
trucker,tipo-gorra,Gorra Trucker,Estilo camionero con malla,2.00,/images/gorras/trucker.jpg,2
beanie,tipo-gorra,Gorro Beanie,Gorro de invierno,1.00,/images/gorras/beanie.jpg,3
visera,tipo-gorra,Visera,Solo visera sin copa,1.50,/images/gorras/visera.jpg,4
sombrero-ala,tipo-gorra,Sombrero de Ala,Con ala completa,3.00,/images/gorras/ala.jpg,5
snapback,tipo-gorra,Snapback,Con cierre ajustable trasero,1.00,,6
bordado,decoracion,Bordado,Decoración bordada,5.00,/images/decoracion/bordado.jpg,1
serigrafia,decoracion,Serigrafía,Impresión serigráfica,3.00,/images/decoracion/serigrafia.jpg,2
transfer-termico,decoracion,Transfer Térmico,Aplicación con calor,2.50,/images/decoracion/transfer.jpg,3
grabado-laser,decoracion,Grabado Láser,Grabado con láser,4.00,/images/decoracion/laser.jpg,4
inyeccion-tinta,decoracion,Inyección de Tinta,Impresión directa,2.00,/images/decoracion/inkjet.jpg,5
sublimacion,decoracion,Sublimación,Impresión por sublimación,3.50,/images/decoracion/sublimacion.jpg,6
vinilo-textil,decoracion,Vinilo Textil,Aplicación de vinilo,2.80,/images/decoracion/vinilo.jpg,7
tampografia,decoracion,Tampografía,Impresión con tampón,3.20,,8
offset,decoracion,Offset,Impresión offset de alta calidad,0.00,,9
digital,decoracion,Digital,Impresión digital,0.00,,10
ajustable,ajuste,Ajustable,Con cierre ajustable,0.00,,1
fitted,ajuste,Fitted,Talla fija sin ajuste,1.00,,2
talla-unica,ajuste,Talla Única,One size fits all,0.00,,3
elastico,ajuste,Elástico,Material stretch ajustable,1.50,,4
xs,talla,XS,Extra pequeña,0.00,,1
s,talla,S,Pequeña,0.00,,2
m,talla,M,Mediana,0.00,,3
l,talla,L,Grande,1.00,,4
xl,talla,XL,Extra grande,2.00,,5
xxl,talla,XXL,Doble extra grande,3.00,,6
xxxl,talla,XXXL,Triple extra grande,4.00,,7
blanco,color,Blanco,Color blanco,0.00,/images/colores/blanco.jpg,1
negro,color,Negro,Color negro,0.00,/images/colores/negro.jpg,2
rojo,color,Rojo,Color rojo,0.50,/images/colores/rojo.jpg,3
azul,color,Azul,Color azul,0.50,/images/colores/azul.jpg,4
azul-marino,color,Azul Marino,Azul oscuro,0.50,/images/colores/azul-marino.jpg,5
verde,color,Verde,Color verde,0.50,/images/colores/verde.jpg,6
amarillo,color,Amarillo,Color amarillo,0.50,/images/colores/amarillo.jpg,7
gris,color,Gris,Color gris,0.00,/images/colores/gris.jpg,8
naranja,color,Naranja,Color naranja,0.50,/images/colores/naranja.jpg,9
rosa,color,Rosa,Color rosa,0.50,/images/colores/rosa.jpg,10
morado,color,Morado,Color morado,0.50,/images/colores/morado.jpg,11
beige,color,Beige,Color beige,0.00,/images/colores/beige.jpg,12
marron,color,Marrón,Color marrón,0.50,/images/colores/marron.jpg,13
turquesa,color,Turquesa,Color turquesa,0.50,/images/colores/turquesa.jpg,14
dorado,color,Dorado,Color dorado,1.00,/images/colores/dorado.jpg,15
plateado,color,Plateado,Color plateado,1.00,/images/colores/plateado.jpg,16
cuello-redondo,tipo-cuello,Cuello Redondo,Cuello circular clásico,0.00,,1
cuello-v,tipo-cuello,Cuello V,Cuello en forma de V,0.50,,2
cuello-polo,tipo-cuello,Cuello Polo,Cuello con botones,1.00,,3
cuello-alto,tipo-cuello,Cuello Alto,Cuello tipo tortuga,1.50,,4
cuello-camisa,tipo-cuello,Cuello Camisa,Cuello formal con botones,1.00,,5
cuello-mao,tipo-cuello,Cuello Mao,Cuello chino sin solapas,1.20,,6
manga-corta,tipo-manga,Manga Corta,Manga hasta codo,0.00,,1
manga-larga,tipo-manga,Manga Larga,Manga completa,2.00,,2
manga-3-4,tipo-manga,Manga 3/4,Manga a tres cuartos,1.50,,3
sin-manga,tipo-manga,Sin Manga,Prenda sin mangas,0.00,,4
cremallera,tipo-cierre,Cremallera,Cierre con zipper,2.00,,1
botones,tipo-cierre,Botones,Cierre con botones,1.50,,2
sin-cierre,tipo-cierre,Sin Cierre,Pull-over sin cierre,0.00,,3
velcro,tipo-cierre,Velcro,Cierre con velcro,1.20,,4
broches,tipo-cierre,Broches,Cierre con broches a presión,1.00,,5
con-capucha,tipo-capucha,Con Capucha,Incluye capucha,2.00,,1
sin-capucha,tipo-capucha,Sin Capucha,Sin capucha,0.00,,2
capucha-ajustable,tipo-capucha,Capucha Ajustable,Con cordones ajustables,2.50,,3
sin-bolsillos,tipo-bolsillo,Sin Bolsillos,Sin bolsillos,0.00,,1
bolsillo-canguro,tipo-bolsillo,Bolsillo Canguro,Un bolsillo frontal grande,1.00,,2
dos-bolsillos,tipo-bolsillo,Dos Bolsillos,Dos bolsillos laterales,1.50,,3
multiples-bolsillos,tipo-bolsillo,Múltiples Bolsillos,3 o más bolsillos,2.00,,4
bolsillos-interiores,tipo-bolsillo,Bolsillos Interiores,Bolsillos ocultos internos,1.80,,5
capacidad-250ml,capacidad,250ml,Capacidad pequeña,0.00,,1
capacidad-350ml,capacidad,350ml,Capacidad estándar,0.00,,2
capacidad-500ml,capacidad,500ml,Capacidad mediana,1.00,,3
capacidad-750ml,capacidad,750ml,Capacidad grande,2.00,,4
capacidad-1l,capacidad,1 Litro,Capacidad 1 litro,3.00,,5
capacidad-10l,capacidad,10 Litros,Capacidad 10 litros para bolsas,0.00,,6
capacidad-20l,capacidad,20 Litros,Capacidad 20 litros para bolsas,2.00,,7
capacidad-30l,capacidad,30 Litros,Capacidad 30 litros para bolsas,3.00,,8
capacidad-40l,capacidad,40+ Litros,Capacidad extra grande,4.00,,9
vertical,orientacion,Vertical,Orientación vertical/retrato,0.00,,1
horizontal,orientacion,Horizontal,Orientación horizontal/paisaje,0.00,,2
cuadrada,orientacion,Cuadrada,Formato cuadrado,0.00,,3
gramaje-150,gramaje,150g,Papel 150 gramos,0.00,,1
gramaje-200,gramaje,200g,Papel 200 gramos,0.20,,2
gramaje-250,gramaje,250g,Papel 250 gramos,0.40,,3
gramaje-300,gramaje,300g,Papel 300 gramos,0.60,,4
gramaje-350,gramaje,350g,Papel 350 gramos,0.80,,5
laminado-mate,laminado,Laminado Mate,Laminado mate protector,1.00,,1
laminado-brillante,laminado,Laminado Brillante,Laminado brillante,1.00,,2
sin-laminado,laminado,Sin Laminado,Sin protección laminada,0.00,,3
ojales,instalacion,Ojales,Con ojales para colgar,1.50,,1
adhesivo,instalacion,Adhesivo,Con cinta adhesiva doble cara,1.00,,2
soporte-metal,instalacion,Soporte Metálico,Incluye soporte de metal,5.00,,3
base-display,instalacion,Base Display,Incluye base para display,8.00,,4
sin-instalacion,instalacion,Sin Sistema,Sin sistema de instalación,0.00,,5
si-personalizacion,personalizacion,Con Texto Personalizado,Incluye personalización de texto,0.00,,1
no-personalizacion,personalizacion,Sin Personalización,Diseño estándar sin texto,0.00,,2
